ID,desc::source,type,desc::subtitle,disturbance,desc::disturbancetype,continent,desc::country,position,desc::full name,topic,accentedness,video_url,desc::title,desc::pubdate,desc::notes,loc::lat,loc::lon,desc::multi-region accent
__PLEWMAP_CALIB__,"{""mode"": ""edges"", ""mercator"": false, ""locX"": ""loc::lon"", ""locY"": ""loc::lat"", ""L"": -180, ""R"": 180, ""T"": 90, ""B"": -90}",,,,,,,,,,,,,,,,,
89,dw news,news,no,yes,music,europe,albania,expert,klodiana beshku,politics,medium,https://youtu.be/4k1Y2vtJdfo?t=429,Inside Europe's new billionaire playground | DW News ,2026/8/22,https://www.researchgate.net/profile/Klodiana-Beshku,41.14165894891656,20.061082767269493,no
90,dw news,news,no,yes,music,asia,vietnam,expert,tien nguyen,business,weak,https://youtu.be/VQD6Fa-3yBs?t=233,Opportunity or exploitation: Vietnamese apprentices in Germany | DW News,2026/8/26,,16.517347170839393,105.91338832758704,no
91,dw food,documentary,no,yes,music,europe,finland,interviewee,varpu rusila,culture,weak,https://youtu.be/57HYrItZiKc?t=140,Why Finns are obsessed with blueberries,2025/9/27,,65.01578959749911,25.65738433454702,no
92,dw food,documentary,no,yes,music,europe,finland?,interviewee,na,culture,weak,https://youtu.be/57HYrItZiKc?t=307,Why Finns are obsessed with blueberries,2025/9/27,,65.01578959749911,25.65738433454702,no
93,dw food,documentary,no,yes,music,europe,finland?,interviewee,na,culture,weak,https://youtu.be/57HYrItZiKc?t=312,Why Finns are obsessed with blueberries,2025/9/27,,65.01578959749911,25.65738433454702,no
94,dw euromaxx,documentary,no,yes,music,europe,germany,reporter,ruben kalus,culture,medium,https://youtu.be/gBuAluQQB50?t=60,Why Finland is the happiest country in the world,2024/8/3,,51.08304539800482,10.426171427430804,no
95,dw euromaxx,documentary,no,yes,music,europe,finland,interviewee,lena salmi,culture,strong,https://youtu.be/gBuAluQQB50?t=175,Why Finland is the happiest country in the world,2024/8/3,,65.01578959749911,25.65738433454702,no
96,dw euromaxx,documentary,no,yes,music,europe,finland,expert,frank martela,culture,medium,https://youtu.be/gBuAluQQB50?t=259,Why Finland is the happiest country in the world,2024/8/3,,65.01578959749911,25.65738433454702,no
97,dw euromaxx,documentary,no,yes,music,europe,finland,expert,tero kuitunen,culture,medium,https://youtu.be/gBuAluQQB50?t=360,Why Finland is the happiest country in the world,2024/8/3,,65.01578959749911,25.65738433454702,no
98,dw euromaxx,documentary,no,yes,music,europe,macedonia,expert,luka balac,culture,weak,https://youtu.be/gBuAluQQB50?t=550,Why Finland is the happiest country in the world,2024/8/3,,41.59402890143112,21.70998923872772,no
99,dw euromaxx,documentary,no,yes,music,europe,ukraine,expert,yevhen klopotenko,culture,strong,https://youtu.be/u27SfzKP3DY?t=12,Don’t call Ukrainian Borsch a soup. Here’s why.,2026/8/29,,48.657532515563794,31.27377208442636,no
100,,,,,,,,,,,,,,,,0.0,-140.0,no
101,,,,,,,,,,,,,,,,0.0,-140.0,no
102,,,,,,,,,,,,,,,,0.0,-140.0,no
